[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ route_check ] --START--
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='js/jquery-1.9.1.js' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Tag[ view_template ] --START--
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Tag[ view_end ] --START--
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:48:58+08:00 ] /js/jquery-1.9.1.js?v=1488246537 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ route_check ] --START--
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ view_template ] --START--
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ view_end ] --START--
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /index_developer7.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ route_check ] --START--
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='js/jquery-1.9.1.js' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ view_template ] --START--
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ view_end ] --START--
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:03+08:00 ] /js/jquery-1.9.1.js?v=1488246543 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ route_check ] --START--
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='robots.txt' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ view_template ] --START--
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ view_end ] --START--
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:40+08:00 ] /robots.txt | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-28T09:49:41+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.015625s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015625s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T09:49:41+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-28T10:06:47+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:06:47+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-28T10:11:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:11:03+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ route_check ] --START--
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ view_template ] --START--
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ view_end ] --START--
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:13:14+08:00 ] /index_login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:13:18+08:00 ] /static/images/input_icon1.png | ERR: (ThinkException) 非法操作icon1.png
[ 2017-02-28T10:13:18+08:00 ] /static/images/input_icon1.png | INFO: Tag[ route_check ] --START--
[ 2017-02-28T10:13:18+08:00 ] /static/images/input_icon1.png | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:13:18+08:00 ] /static/images/input_icon1.png | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:13:18+08:00 ] /static/images/input_icon1.png | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T10:13:18+08:00 ] /static/images/input_icon1.png | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T10:13:18+08:00 ] /static/images/input_icon1.png | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T10:13:18+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-02-28T10:13:18+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
